Constituency,Const. No.,Winning Candidate,Winning Party,2nd Candidate,2nd Party,Margin,Status,Past Winning Candidate,Past Winning Party,Past Margin
ADARSH NAGAR,4,PAWAN SHARMA,Aam Aadmi Party,RAJ KUMAR BHATIA,Bharatiya Janata Party,1589,Result Declared,PAWAN KUMAR SHARMA,Aam Aadmi Party,20741
AMBEDKAR NAGAR(SC),48,AJAY DUTT,Aam Aadmi Party,KHUSHIRAM CHUNAR,Bharatiya Janata Party,28327,Result Declared,AJAY DUTT,Aam Aadmi Party,42460
BABARPUR,67,GOPAL RAI,Aam Aadmi Party,NARESH GAUR,Bharatiya Janata Party,33062,Result Declared,GOPAL RAI,Aam Aadmi Party,35271
BADARPUR,53,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,RAM SINGH NETAJI,Aam Aadmi Party,3719,Result Declared,NARAYAN DUTT SHARMA,Aam Aadmi Party,47583
BADLI,5,AJESH YADAV,Aam Aadmi Party,VIJAY KUMAR BHAGAT,Bharatiya Janata Party,29123,Result Declared,AJESH YADAV,Aam Aadmi Party,35376
BALLIMARAN,22,IMRAN HUSSAIN,Aam Aadmi Party,LATA,Bharatiya Janata Party,36172,Result Declared,IMRAN HUSSAIN,Aam Aadmi Party,33877
BAWANA(SC),7,JAI BHAGWAN,Aam Aadmi Party,RAVINDER KUMAR,Bharatiya Janata Party,11526,Result Declared,VED PARKASH,Aam Aadmi Party,50557
BIJWASAN,36,BHUPINDER SINGH JOON,Aam Aadmi Party,SAT PRAKASH RANA,Bharatiya Janata Party,753,Result Declared,COL DEVINDER SEHRAWAT,Aam Aadmi Party,19536
BURARI,2,SANJEEV JHA,Aam Aadmi Party,SHAILENDRA KUMAR,Janata Dal (United),88158,Result Declared,SANJEEV JHA,Aam Aadmi Party,67950
CHANDNI CHOWK,20,PARLAD SINGH SAWHNEY,Aam Aadmi Party,SUMAN KUMAR GUPTA,Bharatiya Janata Party,29584,Result Declared,ALKA  LAMBA,Aam Aadmi Party,18287
CHHATARPUR,46,KARTAR SINGH TANWAR,Aam Aadmi Party,BRAHM SINGH TANWAR,Bharatiya Janata Party,3720,Result Declared,KARTAR SINGH TANWAR,Aam Aadmi Party,22240
DELHI CANTT,38,Virender Singh Kadian,Aam Aadmi Party,Manish Singh,Bharatiya Janata Party,10590,Result Declared,SURENDER SINGH,Aam Aadmi Party,11198
DEOLI(SC),47,PRAKASH @ PRAKASH JARWAL,Aam Aadmi Party,ARVIND KUMAR,Bharatiya Janata Party,40173,Result Declared,PRAKASH,Aam Aadmi Party,63937
DWARKA,33,VINAY MISHRA,Aam Aadmi Party,PARDUYMN RAJPUT,Bharatiya Janata Party,14387,Result Declared,ADARSH SHASTRI,Aam Aadmi Party,39366
GANDHI NAGAR,61,ANIL KUMAR BAJPAI,Bharatiya Janata Party,NAVEEN CHAUDHARY,Aam Aadmi Party,6079,Result Declared,ANIL KUMAR BAJPAI,Aam Aadmi Party,7482
GHONDA,66,AJAY MAHAWAR,Bharatiya Janata Party,SHRIDUTT SHARMA,Aam Aadmi Party,28370,Result Declared,SHRI DUTT SHARMA,Aam Aadmi Party,8093
GOKALPUR(SC),68,SURENDRA KUMAR,Aam Aadmi Party,RANJEET SINGH,Bharatiya Janata Party,19488,Result Declared,FATEH SINGH,Aam Aadmi Party,31968
GREATER KAILASH,50,SAURABH BHARADWAJ,Aam Aadmi Party,SHIKHA ROY,Bharatiya Janata Party,16809,Result Declared,SAURABH BHARADWAJ,Aam Aadmi Party,14583
HARI NAGAR,28,RAJ KUMARI DHILLON,Aam Aadmi Party,TAJINDER PAL SINGH BAGGA,Bharatiya Janata Party,20131,Result Declared,JAGDEEP SINGH,Aam Aadmi Party,26444
JANAKPURI,30,RAJESH RISHI,Aam Aadmi Party,ASHISH SOOD,Bharatiya Janata Party,14917,Result Declared,RAJESH RISHI,Aam Aadmi Party,25580
